timestamp,"battery_soc"
"Nov 5, 2020 @ 14:52:35.139","0.37850322776757594"
"Nov 5, 2020 @ 14:52:30.025","0.3766801406459745"
"Nov 5, 2020 @ 14:52:24.983","0.3765821559359699"
"Nov 5, 2020 @ 14:52:19.919","0.375232931352662"
"Nov 5, 2020 @ 14:52:14.855","0.3742087721666603"
"Nov 5, 2020 @ 14:52:09.802","0.3733831705812555"
"Nov 5, 2020 @ 14:52:04.759","0.372461672010381"
"Nov 5, 2020 @ 14:51:59.711","0.37213250041481505"
"Nov 5, 2020 @ 14:51:54.662","0.37272049851545774"
"Nov 5, 2020 @ 14:51:49.601","0.3725529820992535"
"Nov 5, 2020 @ 14:51:44.554","0.3728939206801341"
"Nov 5, 2020 @ 14:51:39.509","0.37289935397752705"
"Nov 5, 2020 @ 14:51:34.467","0.37140665453106025"
"Nov 5, 2020 @ 14:51:29.419","0.370097821633555"
"Nov 5, 2020 @ 14:51:24.351","0.37004544939231404"
"Nov 5, 2020 @ 14:51:19.270","0.3706761232142422"
"Nov 5, 2020 @ 14:51:14.191","0.3703849238697605"
"Nov 5, 2020 @ 14:51:09.109","0.37017105275699014"
"Nov 5, 2020 @ 14:51:04.058","0.3704754612103745"
"Nov 5, 2020 @ 14:50:59.010","0.3695547541025053"
"Nov 5, 2020 @ 14:50:53.938","0.3679008373830678"
"Nov 5, 2020 @ 14:50:48.859","0.36688354121908145"
"Nov 5, 2020 @ 14:50:43.781","0.3664951480515075"
"Nov 5, 2020 @ 14:50:38.705","0.3652742583511825"
"Nov 5, 2020 @ 14:50:33.625","0.36503910522102007"
"Nov 5, 2020 @ 14:50:28.552","0.3649837244821998"
"Nov 5, 2020 @ 14:50:23.479","0.36480557144940723"
"Nov 5, 2020 @ 14:50:18.407","0.36386620442745515"
"Nov 5, 2020 @ 14:50:13.330","0.36366925003012907"
"Nov 5, 2020 @ 14:50:08.255","0.3630177112658014"
"Nov 5, 2020 @ 14:50:03.172","0.3614981508997178"
"Nov 5, 2020 @ 14:49:58.090","0.3601803330268856"
"Nov 5, 2020 @ 14:49:53.017","0.35994548720996683"
"Nov 5, 2020 @ 14:49:47.940","0.35921067102268167"
"Nov 5, 2020 @ 14:49:42.885","0.3585077921803985"
"Nov 5, 2020 @ 14:49:37.804","0.35860982328999885"
"Nov 5, 2020 @ 14:49:32.725","0.35769950373076126"
"Nov 5, 2020 @ 14:49:27.648","0.35756645569973244"
"Nov 5, 2020 @ 14:49:22.569","0.3570836273262643"
"Nov 5, 2020 @ 14:49:17.498","0.3566212254359411"
"Nov 5, 2020 @ 14:49:12.415","0.35592630832378275"
"Nov 5, 2020 @ 14:49:07.338","0.3552336113701589"
"Nov 5, 2020 @ 14:49:02.262","0.3545027895968275"
"Nov 5, 2020 @ 14:48:57.196","0.3539487347763276"
"Nov 5, 2020 @ 14:48:52.125","0.35321480841895564"
"Nov 5, 2020 @ 14:48:47.034","0.35218569047180975"
"Nov 5, 2020 @ 14:48:41.957","0.3511653056038724"
"Nov 5, 2020 @ 14:48:36.878","0.35157151049043006"
"Nov 5, 2020 @ 14:48:31.802","0.3516565713545998"
"Nov 5, 2020 @ 14:48:26.721","0.35144740393897106"
"Nov 5, 2020 @ 14:48:21.645","0.3507848260005011"
"Nov 5, 2020 @ 14:48:16.567","0.3499669285249461"
"Nov 5, 2020 @ 14:48:11.493","0.34943459506534447"
"Nov 5, 2020 @ 14:48:06.418","0.3488872840814427"
"Nov 5, 2020 @ 14:48:01.354","0.3489131015010138"
"Nov 5, 2020 @ 14:47:56.274","0.34783115197989367"
"Nov 5, 2020 @ 14:47:51.214","0.34638992669093666"
"Nov 5, 2020 @ 14:47:46.133","0.344979047727996"
"Nov 5, 2020 @ 14:47:41.062","0.34338690699836627"
"Nov 5, 2020 @ 14:47:35.989","0.34197805273898124"
"Nov 5, 2020 @ 14:47:30.917","0.34067500689604635"
"Nov 5, 2020 @ 14:47:25.847","0.34090506237348894"
"Nov 5, 2020 @ 14:47:20.769","0.34036243447860504"
"Nov 5, 2020 @ 14:47:15.725","0.33930672984280624"
"Nov 5, 2020 @ 14:47:10.650","0.33935802830286815"
"Nov 5, 2020 @ 14:47:05.567","0.33848827052150066"
"Nov 5, 2020 @ 14:47:00.498","0.337779091570725"
"Nov 5, 2020 @ 14:46:55.421","0.33589252040699236"
"Nov 5, 2020 @ 14:46:50.345","0.33483264250947437"
"Nov 5, 2020 @ 14:46:45.298","0.3329000206618242"
"Nov 5, 2020 @ 14:46:40.228","0.3329362625944544"
"Nov 5, 2020 @ 14:46:35.182","0.33296753471259566"
"Nov 5, 2020 @ 14:46:30.085","0.33306587955761646"
"Nov 5, 2020 @ 14:46:25.005","0.33294217931003683"
"Nov 5, 2020 @ 14:46:19.962","0.33259393426774664"
"Nov 5, 2020 @ 14:46:14.915","0.3326610690628314"
"Nov 5, 2020 @ 14:46:09.878","0.33167409944178955"
"Nov 5, 2020 @ 14:46:04.836","0.33020254871440974"
"Nov 5, 2020 @ 14:45:59.784","0.3297571088856104"
"Nov 5, 2020 @ 14:45:54.739","0.3283081850978892"
"Nov 5, 2020 @ 14:45:49.672","0.32744497436150566"
"Nov 5, 2020 @ 14:45:44.607","0.32697602669484294"
"Nov 5, 2020 @ 14:45:39.551","0.326244315095797"
"Nov 5, 2020 @ 14:45:34.505","0.32541986947581647"
"Nov 5, 2020 @ 14:45:29.462","0.32434590491018256"
"Nov 5, 2020 @ 14:45:24.383","0.32398714813981083"
"Nov 5, 2020 @ 14:45:19.315","0.3236360993044817"
"Nov 5, 2020 @ 14:45:14.239","0.3228792836544159"
"Nov 5, 2020 @ 14:45:09.188","0.3231353607837355"
"Nov 5, 2020 @ 14:45:04.114","0.32285116396032154"
"Nov 5, 2020 @ 14:44:59.063","0.322102301575872"
"Nov 5, 2020 @ 14:44:53.994","0.3219939919062394"
"Nov 5, 2020 @ 14:44:48.913","0.32095847421951146"
"Nov 5, 2020 @ 14:44:43.846","0.31987908884839156"
"Nov 5, 2020 @ 14:44:38.773","0.3192242814876061"
"Nov 5, 2020 @ 14:44:33.699","0.3192383090013899"
"Nov 5, 2020 @ 14:44:28.625","0.3187588365503177"
"Nov 5, 2020 @ 14:44:23.546","0.31749885702499886"
"Nov 5, 2020 @ 14:44:18.478","0.31665130763423566"
"Nov 5, 2020 @ 14:44:13.432","0.31550349682440076"
"Nov 5, 2020 @ 14:44:08.372","0.3143941400752498"
"Nov 5, 2020 @ 14:44:03.262","0.3140820862606168"
"Nov 5, 2020 @ 14:43:58.183","0.31343873828942403"
"Nov 5, 2020 @ 14:43:53.110","0.31221832392045284"
"Nov 5, 2020 @ 14:43:48.041","0.31226675808980414"
"Nov 5, 2020 @ 14:43:42.966","0.3119733653162193"
"Nov 5, 2020 @ 14:43:37.894","0.31235345555686694"
"Nov 5, 2020 @ 14:43:32.821","0.31201285951591345"
"Nov 5, 2020 @ 14:43:27.742","0.3120097693735564"
"Nov 5, 2020 @ 14:43:22.657","0.3121767944869608"
"Nov 5, 2020 @ 14:43:17.586","0.31172486535557503"
"Nov 5, 2020 @ 14:43:12.515","0.31156684690461894"
"Nov 5, 2020 @ 14:43:07.453","0.31144824554491995"
"Nov 5, 2020 @ 14:43:02.367","0.3117544560505716"
"Nov 5, 2020 @ 14:42:57.290","0.311007784849331"
"Nov 5, 2020 @ 14:42:52.217","0.3103504552284056"
